registryid,x,y,county_fips,state_fips,state_nuclear_restrictions,state_electricity_price,state_net_electricity_imports,state_nuclear_inclusive_policy,pop_weight_svi,traditionally_regulated_state_energy_market,state_construction_labor_5yr_mean_annual_wage,count_protected_lands,count_hazardous_facilities_within_5mi,fault_line_hazard,landslide_hazard,max_pga_lt_0o3g,hundred_year_flood_zone,open_water_or_wetland,pop_weight_sentiment,slope_lt_12pct,population_center_dist,ret_facility_dist,count_nuclear_rd_within_100mi,substation_dist,road_dist,streamflow_50kgpm_within_20mi
C3297,-80.6228,33.8264,45079.0,45,0,11.2888888888888,-13311,0,0.531238989693008,1,31916,0.0,1.0,1,1,1,1,1,0.425854162137253,1,23.5657762568107,38.0324831406339,1,0.0839806699208776,0.0785668337581808,1
C3298,-79.9297,33.0158,45015.0,45,0,11.2888888888888,-13311,0,0.43723718075785,1,31916,0.0,3.0,1,1,1,0,1,0.449146837734205,1,16.9162771602567,0.0,0,0.233265166394313,0.0887690594810988,1
C3396,-84.1567,36.0211,47001.0,47,0,9.16888888888888,25944,0,0.356267943278134,1,32142,0.0,3.0,1,0,1,1,1,0.4452324376827,1,46.5571793700692,0.0,1,0.183105733888353,0.337306607321649,1
C3399,-87.6539,36.3903,47161.0,47,0,11.9544444444444,25944,0,0.38527971336455,1,32142,0.0,1.0,1,1,1,1,1,0.432386253168634,1,1.34271742638231,0.0,0,0.291472080215603,0.513464759950488,0
C3403,-86.4006,36.3156,47165.0,47,0,9.16888888888888,25944,0,0.197605545963002,1,32142,0.0,2.0,1,1,1,1,1,0.448869724978903,1,3.42995073103529,17.4990447402882,0,0.162684279148192,0.133584875763066,1
C3407,-84.5194,35.8992,47145.0,47,0,9.16888888888888,25944,0,0.349869215327062,1,32142,0.0,1.0,1,0,1,1,1,0.448500469053724,1,5.49031617032122,15.4848789962637,1,0.263177271938871,0.229453869781713,1
C3470,-95.6311,29.4828,48157.0,48,0,9.16888888888888,6948,0,0.395528348231459,1,32638,0.0,2.0,1,1,1,1,0,0.437065118437298,1,6.05463880833143,0.0,0,0.051331609695372,0.756403638278231,1
C3797,-77.3833,37.3822,51041.0,51,0,11.1111111111111,30984,0,0.206965338213744,1,31710,0.0,4.0,1,0,1,1,0,0.424021140620775,1,3.9300896348652,34.7720040010562,0,0.0595638416318864,0.195686902848646,1
C3845,-122.8598,46.755938,53041.0,53,0,10.14,-9445,1,0.483904924775102,1,48534,0.0,1.0,1,0,1,1,1,0.404346244130579,1,13.6403203894273,0.0,0,0.350494422105118,0.0581412844890251,1
C3935,-81.8233,38.4731,54079.0,54,0,14.05,-28050,0,0.423550192327121,0,35606,0.0,1.0,1,0,1,1,1,0.378125343027158,1,7.3234660962397,0.0,0,0.427974976132995,0.388650846623624,1
C3943,-79.9275,39.710833,54061.0,54,0,12.1533333333333,-28050,0,0.331936517040747,1,35606,0.0,5.0,1,0,1,1,0,0.378596034675726,1,117.387928550081,81.4107782304931,0,0.0934873219492173,0.0913610046459142,1
C3944,-80.3325,39.384167,54033.0,54,0,12.1533333333333,-28050,0,0.312384156611367,1,35606,0.0,3.0,1,0,1,1,1,0.374302296504308,1,13.4990349089297,0.0,0,0.14682256698492,0.153680537711733,1
