"registryid","x","y","county_fips","state_fips","state_nuclear_restrictions","state_electricity_price","state_net_electricity_imports","state_nuclear_inclusive_policy","traditionally_regulated_state_energy_market","state_construction_labor_5yr_mean_annual_wage","count_protected_lands","count_hazardous_facilities_within_5mi","fault_line_hazard","landslide_hazard","max_pga_lt_0o3g","hundred_year_flood_zone","slope_lt_12pct","open_water_or_wetland","streamflow_50kgpm_within_20mi","count_nuclear_rd_within_100mi"
"110009655319","-82.52791","39.11482","39079","39",NULL,"11.0361538461538",37952,True,False,43920,1,1,True,False,True,NULL,True,True,True,1
"110009837873","-74.277306","40.485167","34023","34","{1,5}","15.1738461538462",8762,False,False,54244,NULL,7,True,True,True,NULL,True,True,True,0
"110011268788","-87.84157","42.32148","17097","17","{2,4}","11.9869230769231",-34739,False,False,59038,NULL,3,True,True,True,NULL,True,True,True,1
"110011274913","-91.77846","43.30417","19191","19",NULL,"9.31923076923077",-5401,False,True,37572,NULL,NULL,True,True,True,NULL,True,True,True,0
"110011356077","-81.402556","26.421","12021","12",NULL,"13.39",13226,False,True,31532,NULL,3,True,True,True,NULL,True,True,NULL,0
"110011369214","-72.442295","41.867535","09013","09","{4}","23.84",-9594,True,False,48826,NULL,2,True,True,True,NULL,False,True,True,2
"110011511042","-73.62367","40.85176","36059","36","{6}","18.27",23833,True,True,52148,NULL,4,True,False,True,NULL,True,True,True,1
"110011585258","-85.67921","42.98025","26081","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,4,True,True,True,NULL,True,True,True,0
"110011620415","-122.62346","45.56391","41051","41","{4,7}","10.1146153846154",-8535,False,False,41288,NULL,7,True,True,False,NULL,True,True,True,1
"110011989410","-86.72901","41.61955","18091","18",NULL,"11.6746153846154",12707,True,True,39630,1,2,True,True,True,NULL,True,True,True,1
"110012124940","-86.482513","40.04662","18011","18",NULL,"11.6746153846154",12707,True,True,39630,NULL,3,True,True,True,NULL,True,True,True,1
"110012128429","-86.14013","39.84705","18097","18",NULL,"11.6746153846154",12707,True,True,39630,NULL,6,True,True,True,NULL,True,True,True,1
"110012157860","-106.56864","35.09873","35001","35",NULL,"9.67615384615385",-8755,True,True,32068,1,6,True,True,True,NULL,True,True,NULL,2
"110012181557","-90.06134","46.168751","55051","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,NULL,True,True,True,NULL,True,True,True,0
"110012189470","-74.24433","40.59313","34023","34","{1,5}","15.1738461538462",8762,False,False,54244,NULL,8,True,True,True,NULL,True,True,True,1
"110012205675","-90.52777","36.05992","05055","05",NULL,"9.72846153846154",-12325,False,True,28818,NULL,1,True,True,False,NULL,True,True,True,0
"110012244909","-121.4608","38.49613","06067","06","{4}","24.2230769230769",75504,True,False,48022,1,4,True,True,True,NULL,True,True,True,3
"110012248102","-88.0709","30.68096","01097","01",NULL,"11.4953846153846",-44514,False,True,31188,NULL,10,True,True,True,NULL,True,True,True,0
"110012248102","-88.0709","30.68096","01097","01",NULL,"11.4953846153846",-44514,False,True,31188,NULL,10,True,True,True,NULL,True,True,True,0
"110012268492","-72.01507","44.41438","50005","50","{2}","17.4407692307692",3445,False,True,36010,NULL,1,True,True,True,NULL,True,True,True,0
"110012278515","-106.62536","45.88401","30087","30",NULL,"11.0130769230769",-11520,False,False,38668,1,3,True,True,True,NULL,True,True,NULL,0
"110012371502","-104.37818","44.40584","56011","56",NULL,"8.34615384615385",-23073,False,True,36268,2,NULL,True,True,True,NULL,False,True,NULL,0
"110012475865","-78.871086","35.081099","37051","37",NULL,"10.6269230769231",14875,True,True,30384,NULL,6,True,True,True,NULL,True,True,True,1
"110012535827","-119.63258","48.01546","53047","53",NULL,"9.54",-9445,True,True,48534,1,NULL,True,True,True,NULL,True,False,True,0
"110012540232","-80.18933","25.84222","12086","12",NULL,"13.39",13226,False,True,31532,1,7,True,True,True,NULL,True,True,True,0
"110012563742","-72.87254","44.64834","50015","50","{2}","17.4407692307692",3445,False,True,36010,NULL,2,True,True,True,NULL,True,True,True,0
"110013136392","-70.7493","43.08835","23031","23","{4,7}","20.2846153846154",4068,False,False,33282,NULL,5,True,True,True,NULL,True,True,True,2
"110013795125","-89.36149","43.0949","55025","55",NULL,"12.4792307692308",12109,False,True,43282,1,7,True,True,True,NULL,True,True,True,1
"110013802233","-71.00416","42.8335","25009","25","{2,7}","22.9169230769231",33434,False,True,54582,NULL,6,True,True,True,NULL,True,True,True,6
"110014124429","-123.02472","44.04619","41039","41","{4,7}","10.1146153846154",-8535,False,False,41288,1,6,True,True,False,NULL,True,True,True,1
"110014220770","-122.77299","45.42964","41067","41","{4,7}","10.1146153846154",-8535,False,False,41288,NULL,5,False,True,False,NULL,True,True,True,2
"110014234694","-117.23811","43.98287","41045","41","{4,7}","10.1146153846154",-8535,False,False,41288,NULL,NULL,True,True,True,NULL,True,True,True,0
"110014245557","-121.78242","43.21484","41035","41","{4,7}","10.1146153846154",-8535,False,False,41288,2,NULL,False,True,False,NULL,True,True,True,0
"110014247779","-117.02749","43.6247","41045","41","{4,7}","10.1146153846154",-8535,False,False,41288,NULL,NULL,True,True,True,NULL,True,True,True,0
"110014328487","-149.882128","61.224049","02020","02",NULL,"21.1515384615385",0,False,True,51512,1,5,False,NULL,False,NULL,True,True,True,0
"110014366505","-83.54459","41.6542","39095","39",NULL,"11.0361538461538",37952,True,False,43920,1,6,True,False,True,NULL,True,True,True,0
"110014387617","-74.38032","42.99939","36035","36",NULL,"18.27",23833,True,True,52148,NULL,2,True,True,True,NULL,True,True,True,1
"110014404493","-83.25018","42.25845","26163","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,8,True,False,True,NULL,True,True,True,0
"110014662310","-74.74356","40.22465","34021","34","{1,5}","15.1738461538462",8762,False,False,54244,1,6,True,True,True,NULL,True,True,True,0
"110014867867","-74.22701","40.6929","34039","34","{1,5}","15.1738461538462",8762,False,False,54244,NULL,10,True,True,True,NULL,True,True,True,1
"110015297784","-75.03341","39.48577","34011","34","{1,5}","15.1738461538462",8762,False,False,54244,1,4,True,True,True,NULL,True,True,True,0
"110015313212","-88.726586","42.831114","55127","55",NULL,"12.4792307692308",12109,False,True,43282,2,2,True,True,True,NULL,True,True,True,2
"110015313212","-88.726586","42.831114","55127","55",NULL,"12.4792307692308",12109,False,True,43282,2,2,True,True,True,NULL,True,True,True,2
"110015313221","-88.35121","43.10035","55133","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,6,True,True,True,NULL,True,True,True,2
"110015313221","-88.35121","43.10035","55133","55",NULL,"12.4792307692308",12109,False,True,43282,NULL,6,True,True,True,NULL,True,True,True,2
"110015313258","-83.169578","42.65131","26125","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,8,True,True,True,NULL,True,True,True,0
"110015313267","-83.058333","42.558333","26099","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,10,True,False,True,NULL,True,True,True,0
"110015313267","-83.058333","42.558333","26099","26",NULL,"13.5746153846154",-7468,False,False,39690,NULL,10,True,False,True,NULL,True,True,True,0
"110015313310","-93.035","44.886667","27037","27","{6}","12.1276923076923",12734,False,True,50780,2,12,True,True,True,NULL,True,True,True,0
"110015329054","-76.56074","39.28972","24510","24",NULL,"14.3053846153846",25934,False,True,34766,NULL,7,True,False,True,NULL,True,True,True,1
"110015329081","-76.565556","39.279444","24510","24",NULL,"14.3053846153846",25934,False,True,34766,NULL,8,True,False,True,NULL,True,True,True,1
"110015329125","-76.96971","39.36739","24013","24",NULL,"14.3053846153846",25934,False,True,34766,1,4,True,True,True,NULL,True,True,True,1
"110015329223","-74.74029","40.23349","34021","34","{1,5}","15.1738461538462",8762,False,False,54244,1,5,True,True,True,NULL,True,True,True,0
"110015329232","-73.77451","40.91221","36119","36",NULL,"18.27",23833,True,True,52148,NULL,6,True,True,True,NULL,True,True,True,1
"110015329296","-75.561817","39.735763","10003","10",NULL,"12.8938461538462",7552,False,False,36184,NULL,8,True,False,True,True,True,True,True,0
"110015329321","-75.532888","39.159416","10001","10",NULL,"12.8938461538462",7552,False,False,36184,1,3,True,True,True,NULL,True,True,NULL,1
"110015329349","-75.530693","39.74873","10003","10",NULL,"12.8938461538462",7552,False,False,36184,1,8,True,False,True,NULL,True,True,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
"110015329376","-75.5386","39.7392","10003","10",NULL,"12.8938461538462",7552,False,False,36184,12,96,True,False,True,NULL,True,False,True,0
